date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:56:44	96608/96608	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2010:02:58%20GMT	https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_tab.html	C:/Users/VIDHI%20BORA/Downloads/recap/recap_1/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_tab.html	(from https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
20:56:45	79191/79191	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:42:37%20GMT	https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_timeline.html	C:/Users/VIDHI%20BORA/Downloads/recap/recap_1/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_timeline.html	(from https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
20:56:45	68158/68158	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:50:01%20GMT	https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_timeline_horizontal.html	C:/Users/VIDHI%20BORA/Downloads/recap/recap_1/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_timeline_horizontal.html	(from https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
20:56:45	66776/66776	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:42:09%20GMT	https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/component_bootstrap_switch.html	C:/Users/VIDHI%20BORA/Downloads/recap/recap_1/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/component_bootstrap_switch.html	(from https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
20:56:46	59470/59470	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:49:33%20GMT	https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/component_date_paginator.html	C:/Users/VIDHI%20BORA/Downloads/recap/recap_1/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/component_date_paginator.html	(from https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
20:56:46	66453/66453	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:42:10%20GMT	https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/component_media_advanced.html	C:/Users/VIDHI%20BORA/Downloads/recap/recap_1/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/component_media_advanced.html	(from https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
20:56:47	62327/62327	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:49:37%20GMT	https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/component_rangeslider.html	C:/Users/VIDHI%20BORA/Downloads/recap/recap_1/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/component_rangeslider.html	(from https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
20:56:47	62815/62815	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:56:58%20GMT	https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/component_rating.html	C:/Users/VIDHI%20BORA/Downloads/recap/recap_1/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/component_rating.html	(from https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
20:56:47	90550/90550	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:49:34%20GMT	https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/component_animations.html	C:/Users/VIDHI%20BORA/Downloads/recap/recap_1/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/component_animations.html	(from https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
20:56:48	59139/59139	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:57:00%20GMT	https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/extension_fullscreen.html	C:/Users/VIDHI%20BORA/Downloads/recap/recap_1/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/extension_fullscreen.html	(from https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
